,brand,category_code,product_code,price,event_type,shopping_time,coupon
10799447,starline,auto,alarm,138.23,cart,10,Yes
33053086,samsung,electronics,smartphone,280.87,cart,16,No
20288110,samsung,electronics,smartphone,250.69,cart,18,No
5073499,polaris,appliances,iron,43.48,cart,3,Yes
21143662,samsung,electronics,smartphone,131.64,cart,11,Yes
37660783,apple,electronics,headphone,159.8,cart,5,Yes
32626843,samsung,electronics,smartphone,643.23,cart,11,No
3393242,huawei,electronics,smartphone,127.39,cart,17,No
22714316,samsung,appliances,washer,293.18,cart,12,No
5231542,apple,electronics,smartphone,584.06,cart,6,Yes
26094316,apple,electronics,smartphone,1735.73,cart,17,Yes
27498021,samsung,electronics,smartphone,249.04,cart,16,No
24154470,apple,electronics,headphone,160.62,cart,12,No
24193937,samsung,electronics,smartphone,249.86,cart,13,Yes
38704963,samsung,electronics,tv,566.04,cart,19,Yes
9178181,samsung,electronics,smartphone,288.03,cart,7,Yes
6907505,samsung,electronics,smartphone,131.76,cart,10,Yes
20994041,apple,electronics,smartphone,756.71,cart,9,Yes
14347038,apple,electronics,smartphone,760.1,cart,1,Yes
2366696,xiaomi,electronics,smartphone,197.04,cart,19,No
41446749,samsung,electronics,smartphone,89.32,cart,6,Yes
34814152,samsung,electronics,smartphone,130.99,cart,2,Yes
5997749,ariston,appliances,water_heater,89.83,cart,16,No
28164807,samsung,electronics,smartphone,172.03,cart,7,No
19794027,samsung,electronics,smartphone,131.66,cart,13,No
2451717,samsung,electronics,headphone,107.76,cart,1,Yes
19677747,apple,electronics,smartphone,1425.78,cart,11,No
36730019,haier,electronics,tv,231.64,cart,10,Yes
41687022,samsung,electronics,smartphone,242.85,cart,10,Yes
27606089,oppo,electronics,smartphone,154.19,cart,17,No
7055522,apple,electronics,headphone,192.53,cart,13,Yes
8388140,samsung,electronics,smartphone,858.93,cart,14,No
40718327,apple,electronics,smartphone,729.23,cart,14,No
28247770,samsung,electronics,smartphone,142.09,cart,8,Yes
17616297,xiaomi,electronics,headphone,55.86,cart,4,Yes
6571748,apple,electronics,headphone,161.78,cart,6,Yes
31036934,samsung,electronics,smartphone,224.15,cart,8,Yes
35388499,samsung,electronics,smartphone,130.99,cart,11,Yes
20846990,samsung,electronics,smartphone,172.17,cart,7,Yes
25271043,samsung,appliances,microwave,126.1,cart,7,Yes
22528472,samsung,appliances,oven,347.21,cart,10,Yes
23730609,huawei,electronics,headphone,102.94,cart,7,No
21668857,apple,electronics,smartphone,358.57,cart,16,Yes
3589851,apple,electronics,smartphone,975.56,cart,1,No
24477278,samsung,electronics,smartphone,249.86,cart,16,Yes
4632259,lenovo,computers,notebook,257.38,cart,15,No
25164023,phoenix,sport,bicycle,205.9,cart,6,Yes
39387938,apple,electronics,headphone,159.8,cart,12,No
29559124,apple,electronics,smartphone,997.72,cart,7,No
10695542,apple,electronics,headphone,160.24,cart,9,No
40746814,tcl,electronics,tv,189.39,cart,14,Yes
25541656,lg,electronics,tv,300.81,cart,11,Yes
17865101,apple,electronics,smartphone,473.37,cart,8,Yes
37319752,apple,electronics,headphone,189.68,cart,17,Yes
6445531,acer,computers,notebook,720.22,cart,4,Yes
